,ID,TIME,FEATURE_0,FEATURE_1,ACTION,RISK,OG_CLUSTER
0,0,0,0.9628548575876014,-0.9865346791458448,2,-0.004,0
1,0,1,1.2748489894501134,-0.6732813490074785,2,-0.004,1
2,0,2,2.7912412823339263,-0.3666923912082023,2,-0.004,2
3,0,3,2.0934532122640506,-0.15077054422646363,1,-0.004,2
4,0,4,2.6652277739983496,-1.4168316030603745,1,-0.004,7
5,0,5,2.749995468263349,-2.2252460656679354,1,-0.004,12
6,0,6,2.4045936923876132,-3.243969659951949,1,-0.004,17
7,0,7,2.373442363518915,-4.334022251419295,1,-0.004,22
8,0,8,2.4235852236382005,-4.300995440145181,1,-0.004,22
9,0,9,2.7486809784320227,-4.486115253528389,0,-0.004,22
10,0,10,2.5463325965807346,-3.9511591616708435,1,-0.004,17
11,0,11,2.4063208842449546,-4.4993954383500725,2,-0.004,22
12,0,12,3.535201974171204,-4.473439858059869,0,-0.004,23
13,0,13,3.706678158699522,-3.7893885759152335,2,-0.004,18
14,0,14,3.7755267296874413,-3.398022963611994,0,-0.004,18
15,0,15,3.2312964268813666,-2.3028094241157535,0,-0.004,13
16,0,16,3.866524433891192,-1.3011077410949308,2,-0.004,8
17,0,17,4.9400402331408815,-1.1402943397389107,3,-0.004,9
18,0,18,3.8646309868354956,-1.1647478470225918,2,-0.004,8
19,0,19,4.8446187488096,-1.8894264403930534,0,-0.004,9
20,0,20,4.596053391642437,-0.012550824389192083,1,-0.004,4
21,0,21,4.835887686840825,-1.2709921409796225,0,-0.004,9
22,0,22,4.8642910789796865,-0.09402991191665355,1,-0.004,4
23,0,23,4.649003179827942,-1.6680336322418574,3,-0.004,9
24,0,24,3.636026562631166,-1.873286188417603,2,-0.004,8
25,0,25,4.673046763683327,-1.4949279687261572,1,-0.004,9
26,0,26,4.3653662908856905,-2.512825410429132,1,-0.004,14
27,0,27,4.080165628473619,-3.1188797657182725,1,-0.004,19
28,0,28,4.92266913350763,-4.57796826520071,None,1.0,24
29,1,0,0.586211391601573,-0.13738773156335482,2,-0.004,0
30,1,1,1.0050463573942952,-0.20841318487245142,2,-0.004,1
31,1,2,2.172877808282491,-0.917982343098392,1,-0.004,2
32,1,3,2.61255639734074,-1.6127660939573991,1,-0.004,7
33,1,4,2.085059457496274,-2.5705372140111744,1,-0.004,12
34,1,5,2.7028678242274276,-3.7406635392175067,1,-0.004,17
35,1,6,2.3767675164304687,-4.295790817381717,2,-0.004,22
36,1,7,3.6376946936542556,-4.112163353536874,0,-0.004,23
37,1,8,3.311547611941042,-3.318874818758004,3,-0.004,18
38,1,9,3.334365212324114,-3.402878595622949,0,-0.004,18
39,1,10,3.6173619626165068,-2.9849874052314296,0,-0.004,13
40,1,11,3.611428971581641,-1.798723662176688,2,-0.004,8
41,1,12,4.5847419487835195,-1.835975904726253,1,-0.004,9
42,1,13,4.435828950881458,-2.313056472383498,1,-0.004,14
43,1,14,4.6939109001091275,-3.482382951099657,1,-0.004,19
44,1,15,4.313072204732574,-4.822997251690156,None,1.0,24
45,2,0,0.6123724271331562,-0.7479678238305639,2,-0.004,0
46,2,1,1.970610750320222,-0.34503319347041594,2,-0.004,1
47,2,2,2.6534411413642096,-0.2819176911457315,1,-0.004,2
48,2,3,2.807318904893553,-1.7603004885865308,1,-0.004,7
49,2,4,2.3184827324076007,-2.7107732354288463,1,-0.004,12
50,2,5,2.4706902770650925,-3.8840666611270276,1,-0.004,17
51,2,6,2.6451672106460764,-4.5841153059868,2,-0.004,22
52,2,7,3.0312708793987375,-4.836229377414497,3,-0.004,23
53,2,8,2.3563811443251805,-4.043115167402232,2,-0.004,22
54,2,9,3.2661255236875197,-4.967008067086001,3,-0.004,23
55,2,10,2.4886431262374327,-4.736639785052754,0,-0.004,22
56,2,11,2.2253964719475112,-3.575493521011926,0,-0.004,17
57,2,12,2.5274672571900108,-2.2418339850580997,1,-0.004,12
58,2,13,2.915811951257046,-3.9320504976370376,1,-0.004,17
59,2,14,2.002644539103652,-4.259010466155605,1,-0.004,22
60,2,15,2.3250909213709567,-4.994925471239285,2,-0.004,22
61,2,16,3.6812985806050866,-4.371138332609627,2,-0.004,23
